sample,event_id,gate,category,loss
1050,1230,29,1,821323293.5
1054,1232,1,3,5749773962.0
1056,1233,14,1,897435862.9
1061,1236,21,1,1624871268.0
1062,1237,48,1,791100033.0
1063,1239,3,1,1044674027.0
1063,1238,26,1,1205057041.0
1064,1240,52,2,4224952563.0
1065,1241,48,3,6613654285.0
1066,1242,10,1,1222539823.0
1067,1243,52,1,646271662.6
1069,1247,50,1,795430630.9
1069,1246,21,1,1624871268.0
1072,1248,51,3,7196783270.0
1073,1249,12,1,351567394.5
1077,1251,29,1,821323293.5
1078,1252,20,3,6613654285.0
1079,1254,13,3,5030803098.0
1079,1253,21,4,26234121822.0
1080,1255,51,3,9079647446.0
1080,1258,52,1,658821346.5
1080,1257,21,4,14948036345.0
